Type,Title,Summary,Author,Publication Date,normalized_text,tokens,filtered_tokens,stemmed_words,lemmatized_words
News,COVID tsar Patrick Vallance appointed UK science minister,Labour Prime Minister Keir Starmer has placed several experts who aren’t politicians into government posts.,"Elizabeth Gibney, Sarah Wild",08-Jul-24,covid tsar patrick vallance appointed uk science minister,"['covid', 'tsar', 'patrick', 'vallance', 'appointed', 'uk', 'science', 'minister']","['covid', 'tsar', 'patrick', 'vallance', 'appointed', 'uk', 'science', 'minister']","['covid', 'tsar', 'patrick', 'vallanc', 'appoint', 'uk', 'scienc', 'minist']","['covid', 'tsar', 'patrick', 'vallance', 'appointed', 'uk', 'science', 'minister']"
News,Ex-Meta scientists debut gigantic AI protein design model,EvolutionaryScale’s protein language model — among the largest AI models in biology — has created new fluorescent proteins and won big investment.,Ewen Callaway,08-Jul-24,exmeta scientists debut gigantic ai protein design model,"['exmeta', 'scientists', 'debut', 'gigantic', 'ai', 'protein', 'design', 'model']","['exmeta', 'scientists', 'debut', 'gigantic', 'ai', 'protein', 'design', 'model']","['exmeta', 'scientist', 'debut', 'gigant', 'ai', 'protein', 'design', 'model']","['exmeta', 'scientist', 'debut', 'gigantic', 'ai', 'protein', 'design', 'model']"
Book Review,How conspiracies took root in our culture,"UFO hunters and anti-vaxxers might seem like modern phenomena, but they both take inspiration from a little-known anti-science movement.",Michael  Shermer,08-Jul-24,how conspiracies took root in our culture,"['how', 'conspiracies', 'took', 'root', 'in', 'our', 'culture']","['conspiracies', 'took', 'root', 'culture']","['conspiraci', 'took', 'root', 'cultur']","['conspiracy', 'took', 'root', 'culture']"
Nature Briefing,Daily briefing: 15-minute reaction turns old clothes into useful molecules,"A chemical-processing technique breaks down polyester fabrics, the world’s oldest inhabited termite mounds and a COVID tsar is named UK science minister.",Flora Graham,08-Jul-24,daily briefing 15minute reaction turns old clothes into useful molecules,"['daily', 'briefing', '15minute', 'reaction', 'turns', 'old', 'clothes', 'into', 'useful', 'molecules']","['daily', 'briefing', '15minute', 'reaction', 'turns', 'old', 'clothes', 'useful', 'molecules']","['daili', 'brief', '15minut', 'reaction', 'turn', 'old', 'cloth', 'use', 'molecul']","['daily', 'briefing', '15minute', 'reaction', 'turn', 'old', 'clothes', 'useful', 'molecule']"
Career Feature,Harrowing trends: how endangered-species researchers find hope in the dark,"When data collection can be damaging, conservation scientists must balance ethical trade-offs between interference and inaction.",Nikki Forrester,08-Jul-24,harrowing trends how endangeredspecies researchers find hope in the dark,"['harrowing', 'trends', 'how', 'endangeredspecies', 'researchers', 'find', 'hope', 'in', 'the', 'dark']","['harrowing', 'trends', 'endangeredspecies', 'researchers', 'find', 'hope', 'dark']","['harrow', 'trend', 'endangeredspeci', 'research', 'find', 'hope', 'dark']","['harrowing', 'trend', 'endangeredspecies', 'researcher', 'find', 'hope', 'dark']"
Book Review,"Blooming plants and sunken cities, Books in brief",Andrew Robinson reviews five of the best science picks.,Andrew Robinson,05-Jul-24,blooming plants and sunken cities books in brief,"['blooming', 'plants', 'and', 'sunken', 'cities', 'books', 'in', 'brief']","['blooming', 'plants', 'sunken', 'cities', 'books', 'brief']","['bloom', 'plant', 'sunken', 'citi', 'book', 'brief']","['blooming', 'plant', 'sunken', 'city', 'book', 'brief']"
News,What causes migraines? Study of ‘brain blackout’ offers clues,The blinding headaches are poorly understood — a mouse study suggests that the content of spinal fluid is a trigger for pain.,Miryam Naddaf,05-Jul-24,what causes migraines study of brain blackout offers clues,"['what', 'causes', 'migraines', 'study', 'of', 'brain', 'blackout', 'offers', 'clues']","['causes', 'migraines', 'study', 'brain', 'blackout', 'offers', 'clues']","['caus', 'migrain', 'studi', 'brain', 'blackout', 'offer', 'clue']","['cause', 'migraine', 'study', 'brain', 'blackout', 'offer', 'clue']"
Nature Careers Podcast,“Who am I if not a scientist?” How to find identity and purpose in retirement,How do scientists define themselves when they leave paid employment after an all-consuming career in academic research?,Julie Gould,05-Jul-24,who am i if not a scientist how to find identity and purpose in retirement,"['who', 'am', 'i', 'if', 'not', 'a', 'scientist', 'how', 'to', 'find', 'identity', 'and', 'purpose', 'in', 'retirement']","['scientist', 'find', 'identity', 'purpose', 'retirement']","['scientist', 'find', 'ident', 'purpos', 'retir']","['scientist', 'find', 'identity', 'purpose', 'retirement']"
Arts Review,Kyotoreview: ‘thrilling’ play shows fight for landmark climate treaty,Drama behind the scenes at the Kyoto Protocol negotiations is laid bare in a major theatrical production.,Peter  Stott,05-Jul-24,kyotoreview thrilling play shows fight for landmark climate treaty,"['kyotoreview', 'thrilling', 'play', 'shows', 'fight', 'for', 'landmark', 'climate', 'treaty']","['kyotoreview', 'thrilling', 'play', 'shows', 'fight', 'landmark', 'climate', 'treaty']","['kyotoreview', 'thrill', 'play', 'show', 'fight', 'landmark', 'climat', 'treati']","['kyotoreview', 'thrilling', 'play', 'show', 'fight', 'landmark', 'climate', 'treaty']"
News,UK election: scientists welcome Labour’s landslide win,"Struggling universities should be near the top of the new government’s agenda, say researchers.",Jonathan O'Callaghan,05-Jul-24,uk election scientists welcome labours landslide win,"['uk', 'election', 'scientists', 'welcome', 'labours', 'landslide', 'win']","['uk', 'election', 'scientists', 'welcome', 'labours', 'landslide', 'win']","['uk', 'elect', 'scientist', 'welcom', 'labour', 'landslid', 'win']","['uk', 'election', 'scientist', 'welcome', 'labour', 'landslide', 'win']"
Nature Briefing,"Daily briefing: Spinal fluid causes aural migraine pain, suggests research in mice","Brain activity heralded by blind spots, flashes and other migraine ‘auras’ seems to trigger a change in cerebrospinal fluid. Plus, a ‘frog sauna’ protects against killer fungal disease and the benefits of full-body, continuous wearable ultrasound.",Flora Graham,05-Jul-24,daily briefing spinal fluid causes aural migraine pain suggests research in mice,"['daily', 'briefing', 'spinal', 'fluid', 'causes', 'aural', 'migraine', 'pain', 'suggests', 'research', 'in', 'mice']","['daily', 'briefing', 'spinal', 'fluid', 'causes', 'aural', 'migraine', 'pain', 'suggests', 'research', 'mice']","['daili', 'brief', 'spinal', 'fluid', 'caus', 'aural', 'migrain', 'pain', 'suggest', 'research', 'mice']","['daily', 'briefing', 'spinal', 'fluid', 'cause', 'aural', 'migraine', 'pain', 'suggests', 'research', 'mouse']"
Publisher Correction,Publisher Correction: Mental navigation in the primate entorhinal cortex,,"Sujaya Neupane, Ila Fiete, Mehrdad Jazayeri",04-Jul-24,publisher correction mental navigation in the primate entorhinal cortex,"['publisher', 'correction', 'mental', 'navigation', 'in', 'the', 'primate', 'entorhinal', 'cortex']","['publisher', 'correction', 'mental', 'navigation', 'primate', 'entorhinal', 'cortex']","['publish', 'correct', 'mental', 'navig', 'primat', 'entorhin', 'cortex']","['publisher', 'correction', 'mental', 'navigation', 'primate', 'entorhinal', 'cortex']"
Author Correction,Author Correction: A high-performance neuroprosthesis for speech decoding and avatar control,,"Sean L. Metzger, Kaylo T. Littlejohn, Edward F. Chang",04-Jul-24,author correction a highperformance neuroprosthesis for speech decoding and avatar control,"['author', 'correction', 'a', 'highperformance', 'neuroprosthesis', 'for', 'speech', 'decoding', 'and', 'avatar', 'control']","['author', 'correction', 'highperformance', 'neuroprosthesis', 'speech', 'decoding', 'avatar', 'control']","['author', 'correct', 'highperform', 'neuroprosthesi', 'speech', 'decod', 'avatar', 'control']","['author', 'correction', 'highperformance', 'neuroprosthesis', 'speech', 'decoding', 'avatar', 'control']"
Research Highlight,AI tool can pinpoint dementia’s cause — from stroke to Alzheimer’s,Algorithm that distinguishes among a host of underlying causes of dementia could be used for diagnosis in hospitals and clinics.,"N, /, A",04-Jul-24,ai tool can pinpoint dementias because  from stroke to alzheimers,"['ai', 'tool', 'can', 'pinpoint', 'dementias', 'because', 'from', 'stroke', 'to', 'alzheimers']","['ai', 'tool', 'pinpoint', 'dementias', 'stroke', 'alzheimers']","['ai', 'tool', 'pinpoint', 'dementia', 'stroke', 'alzheim']","['ai', 'tool', 'pinpoint', 'dementia', 'stroke', 'alzheimers']"
Author Correction,Author Correction: The evolution of lung cancer and impact of subclonal selection in TRACERx,,"Alexander M. Frankell, Michelle Dietzen, Charles Swanton",04-Jul-24,author correction the evolution of lung cancer and impact of subclonal selection in tracerx,"['author', 'correction', 'the', 'evolution', 'of', 'lung', 'cancer', 'and', 'impact', 'of', 'subclonal', 'selection', 'in', 'tracerx']","['author', 'correction', 'evolution', 'lung', 'cancer', 'impact', 'subclonal', 'selection', 'tracerx']","['author', 'correct', 'evolut', 'lung', 'cancer', 'impact', 'subclon', 'select', 'tracerx']","['author', 'correction', 'evolution', 'lung', 'cancer', 'impact', 'subclonal', 'selection', 'tracerx']"
Nature Briefing,Daily briefing: Heavy-lift rocket restores Europe’s access to space,"After years of delays, Europe’s heavy-lift launcher Ariane 6 is scheduled for an inaugural flight next week. Plus, mysterious ancient humans hunted hyenas to thrive on top of the world and how individual brain cells encode the meaning of words.",Katrina Krämer,04-Jul-24,daily briefing heavylift rocket restores europes access to space,"['daily', 'briefing', 'heavylift', 'rocket', 'restores', 'europes', 'access', 'to', 'space']","['daily', 'briefing', 'heavylift', 'rocket', 'restores', 'europes', 'access', 'space']","['daili', 'brief', 'heavylift', 'rocket', 'restor', 'europ', 'access', 'space']","['daily', 'briefing', 'heavylift', 'rocket', 'restores', 'europe', 'access', 'space']"
Outlook,Faecal transplants can treat some cancers — but probably won’t ever be widely used,"Gut microbiota could be crucial to the success or failure of immunotherapy. Donated stool might give oncologists a way to tip the balance, but the real excitement lies in what comes next.",Liam Drew,04-Jul-24,faecal transplants can treat some cancers  but probably will not ever be widely used,"['faecal', 'transplants', 'can', 'treat', 'some', 'cancers', 'but', 'probably', 'will', 'not', 'ever', 'be', 'widely', 'used']","['faecal', 'transplants', 'treat', 'cancers', 'probably', 'ever', 'widely', 'used']","['faecal', 'transplant', 'treat', 'cancer', 'probabl', 'ever', 'wide', 'use']","['faecal', 'transplant', 'treat', 'cancer', 'probably', 'ever', 'widely', 'used']"
News,‘Chemical recycling’: 15-minute reaction turns old clothes into useful molecules,Fast fashion creates millions of tonnes of waste each year — could clever chemistry help to tackle the problem?,Helena Kudiabor,04-Jul-24,chemical recycling 15minute reaction turns old clothes into useful molecules,"['chemical', 'recycling', '15minute', 'reaction', 'turns', 'old', 'clothes', 'into', 'useful', 'molecules']","['chemical', 'recycling', '15minute', 'reaction', 'turns', 'old', 'clothes', 'useful', 'molecules']","['chemic', 'recycl', '15minut', 'reaction', 'turn', 'old', 'cloth', 'use', 'molecul']","['chemical', 'recycling', '15minute', 'reaction', 'turn', 'old', 'clothes', 'useful', 'molecule']"
Career Q&A,‘All things that wander in the heavens’: how I swapped my ivory tower for the world of science fiction,Astrobiologist and writer Seven Rasmussen reflects on the craft and complexities of being a scientist-storyteller.,Fayth Tan,04-Jul-24,all things that wander in the heavens how i swapped my ivory tower for the world of science fiction,"['all', 'things', 'that', 'wander', 'in', 'the', 'heavens', 'how', 'i', 'swapped', 'my', 'ivory', 'tower', 'for', 'the', 'world', 'of', 'science', 'fiction']","['things', 'wander', 'heavens', 'swapped', 'ivory', 'tower', 'world', 'science', 'fiction']","['thing', 'wander', 'heaven', 'swap', 'ivori', 'tower', 'world', 'scienc', 'fiction']","['thing', 'wander', 'heaven', 'swapped', 'ivory', 'tower', 'world', 'science', 'fiction']"
Comment,Give UK science the overhaul it urgently needs,"Five scholars share their science-policy priorities for the incoming government as it faces urgent challenges in tackling climate change, health, inequality and more.","Marie Claire   Brisbois, Furaha  Asani, Maria  Nedeva",04-Jul-24,give uk science the overhaul it urgently needs,"['give', 'uk', 'science', 'the', 'overhaul', 'it', 'urgently', 'needs']","['give', 'uk', 'science', 'overhaul', 'urgently', 'needs']","['give', 'uk', 'scienc', 'overhaul', 'urgent', 'need']","['give', 'uk', 'science', 'overhaul', 'urgently', 'need']"
News,Japan’s scientists demand more money for basic science,Petition representing hundreds of thousands of researchers in Japan calls for an increase in cash to boost competitiveness.,Anna Ikarashi,04-Jul-24,japans scientists demand more money for basic science,"['japans', 'scientists', 'demand', 'more', 'money', 'for', 'basic', 'science']","['japans', 'scientists', 'demand', 'money', 'basic', 'science']","['japan', 'scientist', 'demand', 'money', 'basic', 'scienc']","['japan', 'scientist', 'demand', 'money', 'basic', 'science']"
News Feature,How do you make salty water drinkable? The hunt for fresh solutions to a briny problem,"Unconventional methods for desalination could create more drinking water, help many industries to deal with problematic brines and increase lithium supplies for batteries.",XiaoZhi Lim,04-Jul-24,how do you make salty water drinkable the hunt for fresh solutions to a briny problem,"['how', 'do', 'you', 'make', 'salty', 'water', 'drinkable', 'the', 'hunt', 'for', 'fresh', 'solutions', 'to', 'a', 'briny', 'problem']","['make', 'salty', 'water', 'drinkable', 'hunt', 'fresh', 'solutions', 'briny', 'problem']","['make', 'salti', 'water', 'drinkabl', 'hunt', 'fresh', 'solut', 'brini', 'problem']","['make', 'salty', 'water', 'drinkable', 'hunt', 'fresh', 'solution', 'briny', 'problem']"
